Platform,49.4554,785.048,614.197,111.899
Platform,661.427,793.548,272.808,88.8994
Platform,1122.93,688.942,212.504,89.0994
Platform,1428.53,603.392,212.804,85.9995
Platform,1833.86,773.196,103.799,62.9998
Platform,2117.01,874.696,107.899,50.3
Platform,2376.26,963.579,145.1,61.1998
Platform,2647.13,990.452,164.801,70.7997
Platform,2822.32,823.664,199.003,81.9995
Platform,2476.91,730.905,161.201,84.1995
Wall,41.5022,780.502,16.7003,19.8003
Wall,651.956,781.6,11.1002,21.1002
Collectable,900.396,741.762,44.7001,45.5001
Collectable,1208.43,623.142,50,50
Collectable,1507.83,544.293,50,50
Collectable,1860.29,717.046,50,50
Collectable,2488.27,673.95,50,50
Collectable,2555.6,674.101,50,50
Wall,819.248,743.18,9.90019,44.3001
Wall,1028.73,786.826,10.0002,56.5999
Wall,1108.11,681.404,10.8002,55.5999
Wall,1335.18,681.215,11.6002,54.8999
Wall,1643.96,598.838,13.8002,52.5
Wall,1415.66,597.255,11.3002,50
Wall,2804.09,815.979,15.5002,54.5999
Wall,3023.63,816.563,14.3002,56.0999
